discord_id,customer_id,invite_url
1382331742177726544,staff,
1379002293692792902,staff,
1366703548070363177,staff,
1364982893897846854,staff,
1342518585616105567,51690025,
1329512205435146312,17106639,
1325637793044500561,13241002,
1325534844351938561,51827042,
1320440639833378918,staff,
1318628194668249179,11906522,
1318511538495033377,10262766,
1318316575669092418,21805031,
1318285326262866011,50932645,
1317758122718400582,20333670,
1317429245655646258,14270739,
1317118791288881285,staff,
1317038945858490378,18482394,
1317031159619780669,staff,
1316827207938609156,51571838,
1316382719344775199,2902959,
1316298898129817671,18527352,
1316180221896163408,19748997,
1316129123482996747,21399649,
1316126960191275101,staff,
1316105461317242921,21186222,
1316091333932482660,17906612,
1316079717350117387,staff,
1316055389137010709,staff,
1316048351967318138,10263035,
1316047022616346666,staff,
1316046999396552736,staff,
1316036047917944914,staff,
1316032643560898642,22779149,
1316023906414362668,10729242,
1316015474668212234,15647475,
1315701109637251206,51948620,
1315663089110351880,16250240,
1314254783921651804,staff,
1312316271597060107,staff,
1311701530943946803,staff,
1311645777759830039,14678327,
1311338638516162561,16836160,
1310624260749922395,staff,
1295668413716496476,staff,
1293494119934591006,staff,
1292829430414315541,18626272,
1284062358926393421,staff,
1279939005907210340,11911401,
1278471382149103629,20997725,
1265416288235159604,18488722,
1263856008195866773,staff,
1253674968303009883,10685647,
1253619504156512350,20486173,
1250067834021613634,22529901,
1249518749187571755,11586703,
1198114497861275748,21966909,
1193669480849621024,23038719,
1188418928733589584,16013809,
1172524983805816977,staff,
1171750015161597952,14575123,
1164466293064347648,18469080,
1155499811177500742,21824056,
1131603829545242644,20240637,
1130429805704265749,23289867,
1130074796038828034,10142654,
1128723181591613622,14492470,
1115035292072689734,13940117,
1113412037574406175,staff,
1104345627699200100,18251142,
1104187565801746482,22844011,
1101677225952161903,20395289,
1093635115063709726,20260597,
1093172539959812146,23057042,
1091783862645968977,51760700,
1082648016051249192,19998949,
1080163631506935810,20380652,
1075081587315703919,18533024,
1074618169601294426,16989860,
1072599057157083186,23122225,
1071835043087003658,21728644,
1061852067091714259,13447046,
1060207320811974657,51453763,
1052508671604695080,20808309,
1049733560006877234,20420919,
1048743673640263781,21553295,
1035464708070854737,20212240,
1030643028735561738,4353604,
1023301818626875462,23416901,
1016368476606189598,20358730,
1016038279444971550,19874613,
1007028361131986945,50487733,
985182155409875034,18029638,
983208988705456179,staff,
978688434724016148,staff,
969414639790215178,16667187,
967774589495156766,23099304,
964556516793389087,13960276,
956538648482967552,50800868,
947898476614783026,19354694,
938452080526524476,23164719,
933766826171711511,20796964,
933474385153630248,20420239,
932318751565688833,18410642,
931284138428887060,20755413,
928744510165504091,staff,
927603462827556865,14520768,
916834849392828466,18581453,
907268134841495624,11150554,
906435322152370198,17556664,
900091990744662108,11638078,
897836320729235517,23024786,
883406172244287488,21522436,
882717679889313802,20835503,
881937375381553183,16632307,
875348434683584523,staff,
865672880501948446,17219870,
861945263093579816,20836392,
861588157589225482,22440258,
859770023454048266,16260467,
856617724222767144,21557530,
851748336037265438,20283084,
846669809612488716,17003807,
844334135673487380,22759353,
833950313852960769,22177877,
830469950325653524,20974353,
821973305530777621,52215072,
820397490271682640,20603388,
809754361412583455,19320940,
809114210071740426,51654022,
798727407804612649,17259637,
796420211296829450,18822455,
794032009810018344,15746162,
789506065011310622,22016482,
788866885357666396,20679124,
786618076270690425,15659418,
785108438937108500,20726626,
784330607915958323,15842258,
782752151029022782,12601956,
781966960937664512,16825676,
781108757123825664,20931439,
780079212584894464,16549265,
779052075236458561,15473842,
777684102802702377,17773292,
773830026583867422,21173042,
767893577946628168,15394353,
764439969140965387,21395098,
758010900316684298,52305725,
757893374618632254,12543836,
752279639270883448,11388669,
752136937459941406,17377160,
751082324765966366,19784356,
738144030197678148,15223973,
732332721275142215,21126187,
725355583431114803,20733070,
724992708438917161,15448280,
722835327303286907,15179229,
718110278239387708,21244440,
714877959827357736,18529504,
713183092873101382,3645150,
710502266364362783,15848703,
710061164079611925,20188121,
708807030445572108,20352435,
704755807530778666,22202746,
704643244276842526,18194762,
703941106437455922,14955769,
702828208122363975,16323934,
702240679270678668,16592041,
702224990493343794,11439495,
701528781424427019,13859903,
700114515345539173,14541621,
699618648217616394,14485155,
696864800638107709,18465063,
694680314437566537,22455561,
694242800929079296,17426576,
694138006805676044,15096812,
693901654998909109,20861757,
693503886429913168,17796871,
692823838743986286,15200223,
692374095379300422,17002293,
689863223389716545,19770076,
689816534583214116,5196657,
686914381715603484,51447106,
682643957892513806,16011588,
682546279267696724,13938149,
681907748077961273,15264600,
681750442824564742,13029116,
678344927997853742,staff,
676212647502413835,18371109,
675009290960109624,13438657,
671785692623273996,14576176,
671087032440717317,21469370,
669866090137911317,4129954,
660482870925852693,20458627,
659502815487590442,14486869,
653656841485680640,15124285,
652672649805168684,22295616,
652070768888381442,14348896,
650835705685344259,23132242,
646109991476133919,17275322,
645882988827115550,14321863,
643184015775629362,16544026,
641035285995454466,14087223,
639161763690184724,21350761,
621042382682456095,19255187,
616561949710221314,21591289,
615609137912610817,20774226,
606863523934633987,13138413,
605601741043400724,21202305,
603681547719016448,52369808,
600741930225369118,15472609,
598145704451506177,53220915,
592471363764092943,20446285,
591281669994971136,18452446,
584434296895307786,52090961,
583035331440410655,13709658,
581824056144166922,21909747,
580035166123327509,17503840,
576406721464107048,14130556,
574532759821746227,21951909,
572803456411369483,13678120,
571272751864610816,17555775,
570279583824216091,12927253,
567420242226315264,18889541,
564105464791433239,15440377,
560766673800527892,18166753,
558308465412669441,13305610,
551131482429587468,17833753,
549621944698273829,21018842,
547890870414999552,22414700,
547036085604057098,15343163,
546688077092093952,17774665,
543565316483973121,15844280,
539458915117563912,16252705,
539059848063483904,15341381,
532679896397381642,21113004,
532347035626766340,17651481,
524670170602668060,11643401,
523681253506023444,12508045,
520965356169330707,52946688,
517915810967191553,13354124,
517769506492252160,51861617,
513746982859440148,15442155,
511790418275467267,14677984,
509072594419318805,21229524,
505437760585334785,17197668,
502162139017117697,50907182,
501363539189956628,18285272,
500343207411056650,14065547,
495668298097229848,20447670,
494185099449860100,17156421,
493910110213767179,55593786,
485554539869765662,13609906,
484648745057779716,51923558,
484516574678745090,18066942,
483954369780383744,18002431,
483129149549051905,54274758,
482636295093354507,20427584,
481635215458959391,18343170,
481104429181960212,13667218,
480891556946116608,11583504,
480145807815999508,12316897,
480002967689494529,22535831,
473066835969835016,52217284,
472669016821989388,18563630,
471352382886903829,20937834,
468842157638418433,14617038,
463322831007121430,19044562,
463097121801764877,14409486,
460115264336560209,50288814,
457302559271682081,14440315,
455082268268953610,23097286,
453769502190993428,12895140,
453087514899775488,13716751,
452902318065582100,13854034,
452229524088815616,3317678,
450702305671774219,22064434,
450256178300321812,23068178,
448842533062311936,51997827,
446950234699071488,52309164,
446279869949804549,14531364,
445603064255086602,12966596,
443541116034351104,23392696,
438005619883114526,13161929,
435132652912115727,22888568,
433362561996554252,10692455,
430865974322003978,20646614,
428949492214136839,12966500,
428812104724905984,21323520,
426396727042637833,18514375,
425947384120475648,15626476,
425766353543364609,52702613,
414208164469407745,17018652,
413904508054142976,22227530,
412620835791044618,22553437,
411522252270600192,21043176,
411177637382324227,13904203,
410855483357003777,13241585,
405828430672691200,13351751,
404285632093880332,13740858,
403155011787554816,20624136,
400672096960774156,staff,
400626248197341184,13530683,
399964509369925634,14492884,
398202066624839690,19916485,
395180194484191243,staff,
391543189871525901,14089961,
390070216656289792,22785971,
389470982059982868,13207923,
389455828694073345,15788219,
388063618735800321,19066737,
387527593278308352,19298303,
387280414336876544,21042044,
387257571024699393,12410828,
386524354390786051,17768598,
386476476800958464,14360729,
386246820709269505,21386667,
385432199140212747,13505132,
385160018112020484,19040922,
384494170674298892,18052079,
382297840703242251,16070029,
378889588862877696,10861632,
378609405857497089,3817736,
376788077190053899,13139353,
376699445796012032,16516110,
376274512561569793,3915686,
375232272288186369,18210574,
374534224386195459,18451513,
373043936739983360,16179186,
370602475004362753,11157312,
369041211937390594,13391965,
365625506537799682,staff,
365607105958379520,53086837,
